cluster,round,n_shared,spearman,slope_loglog,intercept_loglog
all,0,1001,0.978427826923891,0.8869833138970082,0.266364001186316
all,1,1001,0.9778879076167462,0.897478839707662,0.23620115818433352
all,2,1003,0.9720329916275401,1.000845014811006,-0.0010156299378842881
all,3,1003,0.8976527565870495,0.7665405520967291,0.6196061871787082
all,4,1003,0.9425453911141409,0.7914903221290597,0.5511126707613669
C1,0,144,0.95175053393765,0.800592891829077,0.3396199240925245
C1,1,144,0.9431659826476948,0.804295728638437,0.32158433521300855
C1,2,146,0.936482335907774,0.9953690462046859,-0.005527589432014146
C1,3,146,0.8267457688570743,0.5744164683206011,0.9320723734133838
C1,4,146,0.735633823871114,0.5487577691867233,1.020366637646886
C2,0,62,0.9688739471171854,0.9993294496748726,0.06896235918291493
C2,1,62,0.958608795735509,1.0270598577201424,-0.13438133037153221
C2,2,62,0.9537647950644452,0.973162321795213,0.13149743732180053
C2,3,62,0.8932231990542978,1.0041973320494828,-0.050238163657981616
C2,4,62,0.9765292502959025,0.9951103665732126,0.09280525915540228
C3,0,580,0.9744423017881636,0.9879804403590626,0.03612982368302875
C3,1,580,0.9811603550407377,0.9929075739704335,0.031723813756949326
C3,2,580,0.9859263265128358,0.9998646401034663,-0.0005844007549331565
C3,3,580,0.9827025363970268,0.9501830214279448,0.30102680013900995
C3,4,580,0.9814523703160122,0.9473075205442486,0.25584030434475613
